"school","treat","girl","post","sooloca","sooind_id"
1,1,0,0,1,18
1,1,0,0,1,5
1,1,0,0,1,30
0,1,1,0,1,42
1,1,1,0,1,14
1,1,0,0,1,8
0,1,1,0,1,26
1,1,1,0,1,65
1,1,0,0,1,20
1,1,1,0,1,44
1,1,1,0,1,11
1,1,1,0,1,52
0,1,0,0,1,36
0,1,0,0,1,67
1,1,0,0,1,83
1,1,0,0,1,4
1,1,1,0,1,29
0,1,0,0,1,17
1,1,0,0,1,76
0,1,0,0,1,41
0,1,1,0,1,62
0,1,1,0,1,64
1,1,1,0,1,80
1,1,0,0,1,28
1,1,1,0,1,32
1,1,0,0,1,77
1,1,0,0,1,66
1,1,1,0,1,24
1,1,0,0,1,49
1,1,1,0,1,37
0,1,0,0,1,40
1,1,1,0,1,46
0,1,0,0,1,69
1,1,1,0,1,34
1,1,0,0,1,35
1,1,0,0,1,21
0,1,0,0,1,16
1,1,1,0,1,82
1,1,1,0,1,63
1,1,1,0,1,58
1,1,1,0,1,12
1,1,0,0,1,72
1,1,1,0,1,19
0,1,1,0,1,22
1,1,0,0,1,48
0,1,1,0,1,81
1,1,0,0,1,50
1,1,0,0,1,71
1,1,0,0,1,70
1,1,1,0,1,73
1,1,1,0,1,74
1,1,1,0,1,3
1,1,0,0,1,2
1,1,0,0,1,6
1,1,1,0,1,9
0,1,0,0,1,78
1,1,0,0,1,13
1,1,1,0,1,10
0,1,1,0,1,68
1,1,1,0,1,33
0,1,0,0,1,45
1,1,1,0,1,75
1,1,1,0,1,43
1,1,1,0,1,25
1,1,0,0,1,15
0,1,0,0,1,79
0,1,1,0,1,31
1,1,0,0,1,23
1,1,1,0,1,53
1,1,0,0,1,1
0,1,1,0,1,57
1,1,0,0,1,56
1,1,0,0,1,51
1,1,0,0,1,55
1,1,0,0,1,38
1,1,1,0,1,59
1,1,1,0,2,108
1,1,1,0,2,102
1,1,1,0,2,104
1,1,1,0,2,110
0,1,1,0,2,98
1,1,0,0,2,105
1,1,0,0,2,114
1,1,1,0,2,107
1,1,1,0,2,111
0,1,1,0,2,84
1,1,0,0,2,100
1,1,0,0,2,113
0,1,1,0,2,94
1,1,1,0,2,112
1,1,1,0,2,121
0,1,0,0,2,97
1,1,0,0,2,90
0,1,0,0,2,109
1,1,1,0,2,85
1,1,0,0,2,117
1,1,0,0,2,93
1,1,0,0,2,92
1,1,0,0,2,122
1,1,1,0,2,115
1,1,0,0,2,99
1,1,1,0,2,86
0,1,0,0,2,106
1,1,0,0,2,119
1,1,0,0,2,118
0,1,1,0,2,95
0,1,0,0,2,101
1,1,0,0,2,89
1,1,1,0,2,120
0,1,1,0,2,87
1,1,1,0,2,116
1,1,1,0,2,91
1,1,0,0,2,103
1,1,1,0,2,88
1,1,1,0,2,96
1,0,1,0,3,124
1,0,1,0,3,128
1,0,0,0,3,126
1,0,1,0,3,132
1,0,1,0,3,131
1,0,0,0,3,129
1,0,0,0,3,125
1,0,0,0,3,130
1,0,0,0,3,123
1,1,1,0,4,174
1,1,0,0,4,274
1,1,0,0,4,223
1,1,1,0,4,238
1,1,1,0,4,265
1,1,0,0,4,210
1,1,0,0,4,213
1,1,1,0,4,242
0,1,1,0,4,230
1,1,1,0,4,150
